MARKED CIS HYMNS — identity & match status (123)
num | title | first line | tune(name/bracket) | already-have?
==========================================================================================
   5 | Some one will enter the pear | Some one will enter the pearly | Some one will ente(bracket) | --
  12 | "Whosoever heareth," shout,  | "Whosoever heareth," shout, sh | "Whosoever heareth(bracket) | --
  17 | I've wandered far away from  | I've wandered far away from Go | I've wandered far (bracket) | --
  18 | Just one touch as He moves a | Just one touch as He moves alo | Just one touch as (bracket) | --
  27 | Would you be free from your  | Would you be free from your bu | Would you be free (bracket) | --
  32 | We'll build on the Rock, the | We'll build on the Rock, the l | We'll build on the(bracket) | --
  40 | Tell me the story of Jesus   | Tell me the story of Jesus,    | Tell me the story (bracket) | --
  51 | All to Jesus I surrender     | All to Jesus I surrender,      | All to Jesus I sur(bracket) | --
  57 | There's not a Friend like th | There's not a friend like the  | There's not a frie(bracket) | --
  64 | Lord Jesus, I long to be per | Lord Jesus, I long to be perfe | Lord Jesus, I long(bracket) | --
  71 | I will early seek the Saviou | I will early seek the Saviour, | I will early seek (bracket) | --
  74 | Sing them over again to me   | Sing them over again to me,    | Sing them over aga(bracket) | --
  76 | Softly and tenderly Jesus is | Softy and tenderly Jesus is ca | Softly and tenderl(bracket) | --
  78 | We have heard a joyful sound | We have heard a joyful sound,  | We have heard a jo(bracket) | --
  79 | Tho' your sins be as scarlet | "Tho' your sins be as scarlet, | Tho' your sins be (bracket) | --
  87 | Pass me not, O gentle Saviou | Pass me not, O gentle Saviour, | Pass me not, O gen(bracket) | --
  93 | What can wash away my sin?   | What can wash away my sin?     | What can wash away(bracket) | --
  94 | The great Physician now is n | The great Physician now is nea | The great Physicia(bracket) | --
  96 | I gave my life for Thee      | I gave my life for Thee,       | I gave my life for(bracket) | --
 101 | I hear thy welcome voice     | I hear thy welcome voice,      | I hear thy welcome(bracket) | --
 102 | I was once far away from the | I was once far away from the S | I was once far awa(bracket) | --
 107 | I hear the Saviour say       | I hear the Saviour say,        | I hear the Saviour(bracket) | --
 109 | I am coming to the cross     | I am coming to the cross,      | I am coming to the(bracket) | --
 110 | O now I see the crimson wave | O now I see the crimson wave,  | O now I see the cr(bracket) | --
 134 | Baptize us anew              | Baptize us anew                | Baptize us anew   (bracket) | --
 138 | The wonders of redeeming lov | The wonders of redeeming love  |                   (none) | --
 146 | There is a fountain fill'd w | There is a fountain fill'd wit | FOUNTAIN          (named) | --
 150 | Alas!  and did my Savior ble | Alas!  and did my Saviour blee | Alas!  and did my (bracket) | --
 166 | O for that flame of living f | O for that flame of living fir | MENDON            (named) | --
 191 | To God be the glory, great t | To God be the glory, great thi | To God be the glor(bracket) | --
 196 | Be silent, be silent         | Be silent, be silent,          | Be silent, be sile(bracket) | --
 198 | There's sunshine in my soul  | There's sunshine in my soul to | There's sunshine i(bracket) | --
 199 | Redeemed!  how I love to pro | Redeemed!  how I love to procl | Redeemed!  how I l(bracket) | --
 200 | I can hear my Saviour callin | I can hear my Saviour calling, | I can hear my Savi(bracket) | --
 202 | Nearer, still nearer, close  | Nearer, still nearer, close to | Nearer, still near(bracket) | --
 203 | I once was in the desert, al | I once was in the desert, all  | I once was in the (bracket) | --
 204 | Christ has for sin atonement | Christ has for sin atonement m | Christ has for sin(bracket) | --
 205 | Blessed assurance, Jesus is  | Blessed assurance, Jesus is mi | Blessed assurance,(bracket) | --
 212 | Alas!  and did my Saviour bl | Alas!  and did my Saviour blee | Alas!  and did my (bracket) | --
 216 | Take the name of Jesus with  | Take the name of Jesus with yo | Take the name of J(bracket) | --
 219 | Standing on the promises of  | Standing on the promises of Ch | Standing on the pr(bracket) | --
 227 | Wake the song of joy and gla | Wake the song of joy and gladn | Wake the song of j(bracket) | --
 230 | Not I but Christ, be honored | Not I but Christ, be honored,  | Not I but Christ, (bracket) | --
 282 | I am Thine, O Lord, I have h | I am Thine, O Lord, I have hea | I am Thine, O Lord(bracket) | --
 283 | Jesus loves me!  this I know | Jesus loves me!  this I know,  | Jesus loves me!  t(bracket) | --
 288 | O for a thousand tongues to  | O for a thousand tongues to si | O for a thousand t(bracket) | --
 289 | Jesus, keep me near the cros | Jesus, keep me near the cross, | Jesus, keep me nea(bracket) | --
 294 | My hope is built on nothing  | My hope is built on nothing le | My hope is built o(bracket) | --
